(-0.0, -0.0)
(-2.8502, -7.8308)
(-5.7003, -15.6615)
(-8.5505, -23.4923)
(-11.4007, -31.3231)
(-14.2508, -39.1539)
(-17.101, -46.9846)
(-19.9512, -54.8154)
(-22.8013, -62.6462)
(-25.6515, -70.4769)
(-28.5017, -78.3077)
(-31.3518, -86.1385)
(-34.202, -93.9693)
(0.0, 0.0)
(2.8501678610472396, 7.830771839882568)
(5.700335722094479, 15.661543679765137)
(8.55050358314172, 23.492315519647708)
(11.400671444188959, 31.323087359530273)
(14.250839305236203, 39.15385919941285)
(17.10100716628344, 46.984631039295415)
(19.95117502733068, 54.81540287917799)
(22.801342888377917, 62.64617471906055)
(25.65151074942516, 70.47694655894313)
(28.501678610472407, 78.3077183988257)
(31.35184647151964, 86.13849023870826)
(34.20201433256688, 93.96926207859083)
