(-0.0, 0.0)
(-5.7735, 3.3333)
(-11.547, 6.6667)
(-17.3205, 10.0)
(-23.094, 13.3333)
(-28.8675, 16.6667)
(-34.641, 20.0)
(-40.4145, 23.3333)
(-46.188, 26.6667)
(-51.9615, 30.0)
(-57.735, 33.3333)
(-63.5085, 36.6667)
(-69.282, 40.0)
(-75.0555, 43.3333)
(-80.829, 46.6667)
(-86.6025, 50.0)
(0.0, -0.0)
(5.773502691896256, -3.3333333333333366)
(11.547005383792513, -6.666666666666673)
(17.320508075688767, -10.000000000000009)
(23.094010767585026, -13.333333333333346)
(28.867513459481277, -16.66666666666668)
(34.641016151377535, -20.000000000000018)
(40.41451884327379, -23.333333333333353)
(46.18802153517005, -26.666666666666693)
(51.961524227066306, -30.00000000000003)
(57.735026918962554, -33.33333333333336)
(63.50852961085881, -36.6666666666667)
(69.28203230275507, -40.000000000000036)
(75.05553499465132, -43.33333333333337)
(80.82903768654758, -46.66666666666671)
(86.60254037844383, -50.00000000000004)
