(-0.0, -0.0)
(-1.4250839305236187, -3.9153859199412846)
(-2.8501678610472374, -7.830771839882569)
(-4.275251791570857, -11.746157759823856)
(-5.700335722094475, -15.661543679765138)
(-7.1254196526180955, -19.57692959970643)
(-8.550503583141714, -23.49231551964771)
(-9.975587513665333, -27.407701439588998)
(-11.40067144418895, -31.323087359530277)
(-12.825755374712571, -35.23847327947156)
(-14.250839305236191, -39.15385919941286)
(-15.675923235759807, -43.06924511935413)
(-17.101007166283427, -46.98463103929542)
(-18.526091096807047, -50.9000169592367)
(-19.951175027330667, -54.815402879177995)
(-21.376258957854283, -58.730788799119274)
(-22.8013428883779, -62.646174719060554)
(-24.226426818901526, -66.56156063900185)
(-25.651510749425142, -70.47694655894313)
(-27.076594679948755, -74.39233247888441)
(-28.501678610472382, -78.30771839882571)
(-29.926762540996, -82.22310431876699)
(-31.351846471519615, -86.13849023870826)
(-32.77693040204324, -90.05387615864957)
(-34.202014332566854, -93.96926207859084)
(0.0, 0.0)
(1.4250839305236198, 3.915385919941284)
(2.8501678610472396, 7.830771839882568)
(4.27525179157086, 11.746157759823854)
(5.700335722094479, 15.661543679765137)
(7.125419652618102, 19.576929599706425)
(8.55050358314172, 23.492315519647708)
(9.97558751366534, 27.407701439588994)
(11.400671444188959, 31.323087359530273)
(12.82575537471258, 35.23847327947156)
(14.250839305236203, 39.15385919941285)
(15.67592323575982, 43.06924511935413)
(17.10100716628344, 46.984631039295415)
(18.52609109680706, 50.9000169592367)
(19.95117502733068, 54.81540287917799)
(21.3762589578543, 58.73078879911927)
(22.801342888377917, 62.64617471906055)
(24.226426818901544, 66.56156063900185)
(25.65151074942516, 70.47694655894313)
(27.07659467994878, 74.3923324788844)
(28.501678610472407, 78.3077183988257)
(29.926762540996023, 82.22310431876697)
(31.35184647151964, 86.13849023870826)
(32.77693040204326, 90.05387615864956)
(34.20201433256688, 93.96926207859083)
